EXEC_TIME,MSIZE,BSIZE,CPUS_PER_NODE,NUM_NODES,NUM_CPUS,CPU_AVG,MEM_AVG,CPU_AVG_USED,MEM_AVG_USED
42,15,200,112,4,336,15.31,14.12,51.44,47.44
326,8,600,112,2,112,51.53,15.21,57.71,17.04
37,20,128,112,4,336,25.95,14.18,87.19,47.64
51,10,256,112,5,448,9.88,13.96,44.26,62.54
31,17,128,112,5,448,15.83,14.11,70.92,63.21
3770,32,800,112,12,1232,69.64,17.37,857.96,214.0
48,17,200,112,3,224,43.73,14.86,97.96,33.29
4716,24,800,112,6,560,51.2,17.27,286.72,96.71
1733,16,800,112,3,224,90.28,17.81,202.23,39.89
26,10,128,112,5,448,5.25,13.64,23.52,61.11
3666,40,600,112,12,1232,57.54,16.73,708.89,206.11
31,19,128,112,3,224,27.7,14.11,62.05,31.61
46,8,200,112,8,784,2.78,13.92,21.8,109.13
871,32,400,112,6,560,75.94,16.13,425.26,90.33
16503,40,1000,112,12,1232,60.84,19.07,749.55,234.94
10969,30,600,112,2,112,89.22,18.26,99.93,20.45
5910,16,1200,112,8,784,30.61,16.23,239.98,127.24
1421,48,400,112,12,1232,72.0,16.12,887.04,198.6
1044,10,800,112,8,784,11.67,14.7,91.49,115.25
2753,8,1200,112,16,1680,3.72,14.08,62.5,236.54
1542,8,1000,112,4,336,18.31,14.3,61.52,48.05
846,8,800,112,16,1680,3.6,13.89,60.48,233.35
336,8,600,112,4,336,17.16,13.55,57.66,45.53
2901,14,1000,112,8,784,23.02,14.02,180.48,109.92
2686,13,1000,112,5,448,35.15,15.95,157.47,71.46
2461,22,800,112,6,560,75.34,17.0,421.9,95.2
207,40,200,112,12,1232,34.25,15.22,421.96,187.51
7590,20,1200,112,8,784,46.56,18.4,365.03,144.26
72,19,200,112,3,224,38.19,14.77,85.55,33.08
115,14,128,112,6,560,2.1,13.93,11.76,78.01
3198,15,1000,112,8,784,26.68,15.44,209.17,121.05
3563,17,1000,112,5,448,59.59,17.68,266.96,79.21
39,8,256,112,5,448,7.21,13.87,32.3,62.14
640,20,512,112,12,1232,25.52,14.27,314.41,175.81
28,16,128,112,3,224,19.48,13.77,43.64,30.84
62,16,200,112,8,784,12.48,14.05,97.84,110.15
307,20,400,112,8,784,36.63,14.54,287.18,113.99
1278,12,800,112,5,448,29.53,14.96,132.29,67.02
3511,30,800,112,12,1232,61.68,16.91,759.9,208.33
1124,22,512,112,4,336,,,,
81,15,128,112,6,560,4.25,13.91,23.8,77.9
853,18,600,112,3,224,86.48,16.01,193.72,35.86
255,14,400,112,16,1680,8.58,14.08,144.14,236.54
876,17,512,112,3,224,60.84,15.89,136.28,35.59
136,10,400,112,4,336,23.14,13.65,77.75,45.86
15,8,200,112,2,112,28.08,13.49,31.45,15.11
693,15,600,112,3,224,88.63,17.04,198.53,38.17
267,18,400,112,5,448,54.24,14.27,243.0,63.93
192,14,400,112,4,336,26.74,14.67,89.85,49.29
