EXEC_TIME,MSIZE,BSIZE,CPUS_PER_NODE,NUM_NODES,NUM_CPUS,CPU_AVG,MEM_AVG,CPU_AVG_USED,MEM_AVG_USED,Linear Regression_FILTERED,Polynomial Regression_FILTERED,Random Forest_FILTERED,FFNN_FILTERED,XGBoost_FILTERED
16,10,128,112,3,224,10.1,13.43,22.62,30.08,-578.4245701278398,-92.88223113743436,20.11,10.527537536621093,9.621555
556,22,400,112,4,336,62.32,14.87,209.4,49.96,1185.1976572237722,942.9415454783365,565.3744190476191,469.01478881835936,490.4267
2016,10,1000,112,8,784,12.01,14.98,94.16,117.44,2628.7339925492993,2021.4778612211708,2027.8855666666664,2058.7627197265624,2005.8691
200,22,256,112,3,224,59.73,15.38,133.8,34.45,658.1173230640073,565.9167158703136,221.166,149.17499542236328,237.0406
41,22,128,112,3,224,37.17,14.45,83.26,32.37,176.63783516647948,87.81009856254511,112.22,-162.808447265625,80.41665
1843,17,800,112,5,448,57.88,16.45,259.3,73.7,2360.627631639293,2158.0128457248293,1788.96,1744.8598876953124,1836.4656
79,10,128,112,12,1232,1.09,13.33,13.43,164.23,-709.6813776524259,23.046068079992324,83.73388571428573,58.02204332351685,51.852783
3623,17,1000,112,4,336,51.01,17.21,171.39,57.83,3127.523421204135,4211.197379499996,3522.56,3682.295654296875,3579.9272
81,18,256,112,5,448,40.84,14.71,182.96,65.9,377.2616751826596,116.77999428330276,78.582,77.42422690391541,81.78357
75,20,200,112,8,784,20.36,14.11,159.62,110.62,248.705864268349,-58.85487705719555,135.22733333333332,216.40255889892578,102.95674
540,17,512,112,12,1232,18.58,14.22,228.91,175.19,1175.2101557951776,481.50715669146996,521.128,474.6537109375,559.79346
526,18,512,112,5,448,60.33,15.68,270.28,70.25,1340.2206509777156,802.4879002209889,515.928,536.3606750488282,571.4601
2026,10,1000,112,16,1680,5.72,14.07,96.1,236.38,2512.061274749667,2341.4961856622353,2040.4846666666665,2005.9259033203125,2046.2605
1492,14,800,112,4,336,30.43,15.56,102.24,52.28,2186.4461200406677,1564.872273506141,1500.308,1463.6576904296876,1496.8223
180,36,200,112,12,1232,29.03,15.15,357.65,186.65,1197.119379094292,200.50573403101058,216.432,-47.80679473876953,232.22408
239,12,400,112,16,1680,6.0,13.91,100.8,233.69,380.96990944572485,93.91522965734453,237.588,289.81231384277345,236.78854
25,13,128,112,4,336,9.38,13.55,31.52,45.53,-404.24305852921384,-29.797119147756575,27.27,-18.657277393341065,22.914694
115,8,400,112,6,560,8.58,13.46,48.05,75.38,275.1233382638251,273.296778600425,125.792,-12.714091491699218,135.98857
