EXEC_TIME,MSIZE,BSIZE,CPUS_PER_NODE,NUM_NODES,NUM_CPUS,CPU_AVG,MEM_AVG,CPU_AVG_USED,MEM_AVG_USED,Linear Regression_ORIGINAL,Polynomial Regression_ORIGINAL,Random Forest_ORIGINAL,FFNN_ORIGINAL,XGBoost_ORIGINAL
41,22,128,112,5,448,21.48,13.41,96.23,60.08,245.98053274808194,-85.0714757876309,79.386,257.9809768676758,237.55688
3336,16,1000,112,3,224,93.3,19.76,208.99,44.26,3663.0338405182533,4363.133379252447,3348.884,3319.664794921875,3356.61
1545,50,200,112,2,112,91.64,14.94,102.64,16.73,3551.133477374733,2995.6309528012644,1739.984,1712.5036865234374,1661.6589
7594,64,400,112,5,448,87.47,16.38,391.87,73.38,5906.468365895059,8603.623174617536,6381.316,7279.26298828125,7096.0146
2807,24,800,112,12,1232,39.31,15.4,484.3,189.73,3472.070981876317,2432.240223967671,3200.232,2767.1427734375,2656.2566
7095,47,512,112,4,336,,,,,4651.796452989425,8795.75927940535,6949.386133333333,8392.66171875,6665.447
6341,17,1200,112,8,784,34.08,17.17,267.19,134.61,4630.784394269084,6168.156235902896,6128.646,6363.7248046875,6334.251
85,14,256,112,2,112,64.81,12.84,72.59,14.38,33.106012894419564,194.88650818656185,82.934,89.83815078735351,84.66035
20,10,128,112,4,336,6.92,13.11,23.25,44.05,-1000.8547369888113,-125.67535641871495,21.957,-43.98714141845703,12.754728
277,48,200,112,12,1232,43.43,15.36,535.06,189.24,3221.834967779335,399.42284247390563,484.848,182.67926635742188,163.1839
70,17,128,112,12,1232,5.84,13.87,71.95,170.88,-362.1640333545297,418.3578339365716,82.019,126.81727838516235,62.92506
236,17,400,112,3,224,79.54,15.88,178.17,35.57,1000.1258775673394,563.9400092222473,255.092,277.1139862060547,274.86493
350,12,512,112,4,336,,,,,980.3391395160512,362.8524928933747,350.62078571428566,368.5414733886719,351.95624
642,14,600,112,4,336,29.72,15.08,99.86,50.67,1596.0816893085523,719.5917226663263,640.688,595.419677734375,647.235
4383,12,1200,112,16,1680,8.1,14.59,136.08,245.11,4010.6897332839235,4145.5531113152965,4263.154,4270.43671875,4424.159
1061,22,600,112,6,560,72.99,15.9,408.74,89.04,2411.3717426230824,1416.8647350303372,1169.243066666667,941.8389953613281,1084.4598
16,10,128,112,3,224,10.1,13.43,22.62,30.08,-988.9046421062619,-172.43049531371582,21.62,-54.39790802001953,11.047672
556,22,400,112,4,336,62.32,14.87,209.4,49.96,1512.669684609558,781.8494177357023,568.5649333333333,577.4973876953125,499.0241
2016,10,1000,112,8,784,12.01,14.98,94.16,117.44,2973.8906837957866,1833.943989612392,2000.6800666666663,2040.928515625,2028.2701
200,22,256,112,3,224,59.73,15.38,133.8,34.45,860.3461610914987,484.3125381295016,207.82,233.27916564941407,229.95488
41,22,128,112,3,224,37.17,14.45,83.26,32.37,269.8807225131802,149.0575041208525,108.446,36.95980606079102,80.95732
1843,17,800,112,5,448,57.88,16.45,259.3,73.7,2821.4301833594864,2161.0131438385115,1827.75,1884.39697265625,1824.7332
79,10,128,112,12,1232,1.09,13.33,13.43,164.23,-1096.4554960492044,-36.80559442174149,79.03708571428571,92.25709838867188,60.09713
3623,17,1000,112,4,336,51.01,17.21,171.39,57.83,3755.982526020658,4507.889654942683,3502.5,3692.815625,3615.2332
81,18,256,112,5,448,40.84,14.71,182.96,65.9,416.8508497865864,45.37229411255805,78.896,113.71312713623047,86.72689
75,20,200,112,8,784,20.36,14.11,159.62,110.62,332.469496530832,17.321581628921308,141.59466666666668,148.75001373291016,102.734604
540,17,512,112,12,1232,18.58,14.22,228.91,175.19,1409.2322823804259,470.9409355307826,518.27,439.1175226807594,542.92365
526,18,512,112,5,448,60.33,15.68,270.28,70.25,1597.7817269432235,670.4167450769113,525.934,501.9800964355469,571.34424
2026,10,1000,112,16,1680,5.72,14.07,96.1,236.38,2878.2899247353935,2359.4240796172785,2013.066,2038.3636962890625,2049.789
1492,14,800,112,4,336,30.43,15.56,102.24,52.28,2518.683937087175,1579.3755529574976,1486.688,1477.1349853515626,1487.8074
180,36,200,112,12,1232,29.03,15.15,357.65,186.65,1963.049603159892,662.6442232867423,287.61,278.70601654052734,231.96497
239,12,400,112,16,1680,6.0,13.91,100.8,233.69,320.28074216943287,15.305751756425252,234.166,188.19650573730468,235.22156
25,13,128,112,4,336,9.38,13.55,31.52,45.53,-686.1583958339509,-95.122594832598,26.928,-17.425178909301756,16.11713
